Plateformes - Accès utilisateurs;Lien;Plateformes dédiées à l'administration;Lien
Moodle;https://moodle.iut-tlse3.fr/;Limesurvey (sans CAS);https://enquetes.univ-tlse3.fr/admin/authentication/sa/login/noAuthCAS/true
Moodle Test;https://moodletest.iut-tlse3.fr/;Ecri+ (suivi des étudiants);
Limesurvey;https://enquetes.univ-tlse3.fr/admin/;Matomo;https://www.iut-tlse3.fr/analyseweb
Voltaire;https://compte.groupe-voltaire.fr/user/universe/2932/list;Admin teams;https://admin.teams.microsoft.com/
GLPI;https://support.iut-tlse3.fr;Admin Sharepoint online;https://toulouse3-admin.sharepoint.com
ENT personnel;https://ent-personnels.univ-tlse3.fr;Sharepoint onpremise : bac à sable tice;https://bacasable-tice.iut-tlse3.fr/
Office;https://portal.office.com;Entra;https://entra.microsoft.com
Compilatio;https://app.compilatio.net;Base de données Exchange;https://polesi.iut-tlse3.fr/migration-exchange-db/
Wooclap;https://app.wooclap.com;Base de données Moodle;http://www.iut-tlse3.fr/phpmyadmin/
Wooflash;https://app.wooflash.com;;
QUizWizard;https://app.getquizwizard.com/;;
Mindview;https://mindviewonline.com;;
Mes services numériques;https://mes-services-numeriques.iut-tlse3.fr/;;
GCID;https://gcid.iut-tlse3.fr;;
Mahara;https://moodle.iut-tlse3.fr/mahara/;;
Softphone;https://softphone.iut-tlse3.fr/;;
Celcat - emploi du temps;https://edt.iut-tlse3.fr/planning/;;
Celcat - gestion emploi du temps;https://edt.iut-tlse3.fr/;;
Qui fait quoi;https://quifaitquoi.iut-tlse3.fr/;;
Pass IUT;https://www.iut-tlse3.fr/passiut/;;
Trombinoscope;https://trombi.iut-tlse3.fr/;;
Sympa personnel;https://www.iut-tlse3.fr/wws/home;;
Sympa étudiant;https://www.iut-tlse3.fr/wwsetu;;
IUT en ligne;https://iut.univ-tlse3.fr/;;
Sensibilisation cybersécurité;https://hameconnage.iut-tlse3.fr/;;
Ecri+;https://ecriplus.fr/;;
ENT étudiants;https://ent-etudiants.univ-tlse3.fr;;
